严重度,类型,文件,行号,命中,原文
高,异类品类残留,01 立项批准书E0\客户需求书E0.assets\sheets_md\04_功能规格部分.md,15,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ... |
高,异类品类残留,04 设计输入E0\设计输入汇总表E0.assets\sheets_md\02_功能规格部分.md,17,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  |  |  |
高,异类品类残留,04 设计输入E0\设计输入评审检查表.assets\sheets_md\01_设计输入列表.md,36,PC Link,| 9 | PC Link |  | 《红外体温计功能规格部分》9 | ■是     □否 | ■是     □否 | —— | ■是     □否 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,4,血压计,|  | 无警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时无预警。会危及使用者。 | 10 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,4,血压,|  | 无警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时无预警。会危及使用者。 | 10 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,5,血压计,|  | 有警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时有预警。会危及使用者。 | 9 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,5,血压,|  | 有警告的严重危害 | 潜在失效模式影响血压计的安全运行和/或包含不符合法规情形，失效发生时有预警。会危及使用者。 | 9 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,6,血压计,|  | 很高 | 血压计无法运行，丧失基本功能，顾客很不满意。 | 8 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,6,血压,|  | 很高 | 血压计无法运行，丧失基本功能，顾客很不满意。 | 8 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,7,血压计,|  | 高 | 血压计能运行，但性能下降。顾客很不满意。 | 7 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,7,血压,|  | 高 | 血压计能运行，但性能下降。顾客很不满意。 | 7 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,8,血压计,|  | 中等 | 血压计能运行，但丧失部分功能。顾客不满意。 | 6 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,8,血压,|  | 中等 | 血压计能运行，但丧失部分功能。顾客不满意。 | 6 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,9,血压计,|  | 低 | 血压计能运行，但部分功能性能下降。顾客有些不满意。 | 5 |
高,异类品类残留,08 T1样机\01-DFMEA E0\结构类FMEA  E0.assets\sheets_md\02_严重度(S).md,9,血压,|  | 低 | 血压计能运行，但部分功能性能下降。顾客有些不满意。 | 5 |
高,异类品类残留,08 T1样机\04-设计验证计划E0\设计验证计划-功能规格部分E0.assets\sheets_md\02_设计验证_功能.md,20,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  | ■不适用 □手板 □T1 □T2 □试产 | —— | —— |  |  |  |
高,异类品类残留,08 T1样机\04-设计验证计划E0\设计验证计划-通用要求和法规部分E0.assets\sheets_md\01_设计验证计划_通用.md,32,血压,| 20 | 电池<br> battery | □可充电电池：在充满电后，电池电量至少能进行   次血压测量，并且电池性能参数不变。<br>□电池：需要符合WERC认证<br>■无要求 | □手板■T1□设计确认 | 电池寿命测试报告 | 
高,异类品类残留,08 T1样机\10-PT9L标签审核表.assets\sheets_md\01_标签报告模板_-美.md,11,袖带,|  | A | NA | 说明书 | 彩包装 | 铭牌 | 外箱 | 袖带 |  |  |  |  |  |
高,异类品类残留,08 T1样机\13-设计验证报告E0\设计验证报告-功能和组件部分E0.assets\sheets_md\01_设计验证_功能.md,18,PC Link,| 9 | PC Link | ■No | □Yes 描述： |  |  | ■不适用 □手板 □T1 □T2 □试产 | —— | —— | —— | —— |  |  |
高,异类品类残留,11-设计确认\10-设计验证报告-设计确认阶段\设计验证报告-通用要求和法规部分.assets\sheets_md\02_设计验证_通用-确认阶段.md,31,血压,| 20 | 电池<br> battery | □可充电电池：在充满电后，电池电量至少能进行   次血压测量，并且电池性能参数不变。<br>□电池：需要符合WERC认证<br>■无要求 | □手板■T1□设计确认 | -- | -- | -
中,异类型号残留,02 开发计划E0\项目进度表.md,48,PT9C,"""title"": ""Microsoft Project - PT9C.mpp"","
中,异类型号残留,08 T1样机\15-BOM\机芯类组件清单PT9L-EBOM01 V1.0.assets\sheets_md\01_机芯类.md,37,PT9C,| 2 | PCB | K0118000084609A1106 | FR4 | PT9C-CNTP01 V1.0 |  |  | 1 | PCB | √ | C |  |  |  |  |  |  |  |  |  |  |  |  |  
中,异类型号残留,09-设计输出\PT9L-设计输出清单一\设计输出清单一\机芯类组件清单PT9L-EBOM01 V1.0.assets\sheets_md\01_机芯类.md,37,PT9C,| 2 | PCB | K0118000084609A1106 | FR4 | PT9C-CNTP01 V1.0 |  |  | 1 | PCB | √ | C |  |  |  |  |  |  |  |  |  |  |  |  |  
中,异类型号残留,09-设计输出\PT9L-设计输出清单一\设计输出清单一\设计输出清单一.assets\sheets_md\01_硬件、软件.md,17,PT9C,| 3 | 接口板PCB图 | Top  Layer 层 |  |  | PT9C-CNTP01 V1.0 | V1.0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,3,FDIR,source_file: FDIR-V14_散热器压块_REV01_0714.pdf
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,4,FDIR,source_relative_path: 02_RnD_DHF/09-设计输出/设计输出清单二/图纸/FDIR-V14_散热器压块_REV01_0714.pdf
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,6,FDIR,assets_dir: FDIR-V14_散热器压块_REV01_0714.assets
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,15,FDIR,# FDIR-V14_散热器压块_REV01_0714
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,19,FDIR,- source: `02_RnD_DHF/09-设计输出/设计输出清单二/图纸/FDIR-V14_散热器压块_REV01_0714.pdf`
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,20,FDIR,- assets: `FDIR-V14_散热器压块_REV01_0714.assets/`
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,32,FDIR,- [page_manifest.csv](FDIR-V14_散热器压块_REV01_0714.assets/page_manifest.csv)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,33,FDIR,- [pages_text](FDIR-V14_散热器压块_REV01_0714.assets/pages_text/)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,34,FDIR,- [pages_ocr](FDIR-V14_散热器压块_REV01_0714.assets/pages_ocr/)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,35,FDIR,- [pages_png](FDIR-V14_散热器压块_REV01_0714.assets/pages_png/)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,36,FDIR,- [layout_manifest.csv](FDIR-V14_散热器压块_REV01_0714.assets/pages_layout/layout_manifest.csv)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,37,FDIR,- [pages_ordered_md](FDIR-V14_散热器压块_REV01_0714.assets/pages_ordered_md/)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,38,FDIR,- [visual_evidence_manifest.csv](FDIR-V14_散热器压块_REV01_0714.assets/visual_evidence_manifest.csv)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,39,FDIR,- [semantic_findings_manifest.csv](FDIR-V14_散热器压块_REV01_0714.assets/semantic_findings_manifest.csv)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,40,FDIR,- [image_manifest.csv](FDIR-V14_散热器压块_REV01_0714.assets/image_manifest.csv)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,41,FDIR,- [conversion_loss.json](FDIR-V14_散热器压块_REV01_0714.assets/conversion_loss.json)
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.md,63,FDIR,- Page 1: [png](FDIR-V14_散热器压块_REV01_0714.assets/pages_png/page_001.png); text_chars=673; ocr=done; risk=possible_column
中,异类型号残留,09-设计输出\设计输出清单二\图纸\FDIR-V14_散热器压块_REV01_0714.assets\pages_ordered_md\page_001.md,141,FDIR,FDIR-V14
中,异类型号残留,11-设计确认\16-实验报告\2025.02.12 ETX202303-07-078-03 PT9L -2-56 报告-正式.assets\pages_ordered_md\page_018.md,47,PT9C,No.: PT9C-FXGB01 V1.0 )
中,异类型号残留,11-设计确认\16-实验报告\2025.02.12 ETX202303-07-078-03 PT9L -2-56 报告-正式.assets\pages_ordered_md\page_018.md,52,PT9C,No.: PT9C-FXGB01 V1.0 )
中,异类型号残留,11-设计确认\16-实验报告\2025.02.12 ETX202303-07-078-03 PT9L -2-56 报告-正式.assets\pages_ordered_md\page_018.md,57,PT9C,No.: PT9C-FXGB01 V1.0 )
中,异类型号残留,11-设计确认\16-实验报告\2025.02.12 ETX202303-07-078-03 PT9L -2-56 报告-正式.assets\pages_ordered_md\page_018.md,62,PT9C,No.: PT9C-FXGB01 V1.0 )
中,异类型号残留,11-设计确认\16-实验报告\2025.02.12 ETX202303-07-078-03 PT9L -2-56 报告-正式.assets\pages_ordered_md\page_018.md,67,PT9C,No.: PT9C-FXGB01 V1.0 )
待确认(可能复用),异类型号残留,04 设计输入E0\设计输入评审检查表.assets\sheets_md\02_针对程序文件评审.md,7,PT3,| 2 | 性能的声明（包括正常的使用、贮存、搬运和维护）； | ■是      □否     □不适用 | 设计输入-性能规格部分<br>文件编号：PT3-SRXN01 V2.0 |  |  |
待确认(可能复用),异类型号残留,05 结构方案阶段及图样E0\结构设计方案E0.md,20,PT5,| **方案内容：**  1.上盖镜片方案：背面丝印银色，模切成型，与上盖双面胶粘贴，同T-Z1。  2.上盖与下盖固定：通过左右卡勾和电池仓三颗螺钉固定，同T-Z1。  3.按键：注塑成型，与上盖紧配合固定，同T-Z1。  4.电池盖：新
待确认(可能复用),异类型号残留,05 结构方案阶段及图样E0\结构设计方案E0.md,20,T-Z1,| **方案内容：**  1.上盖镜片方案：背面丝印银色，模切成型，与上盖双面胶粘贴，同T-Z1。  2.上盖与下盖固定：通过左右卡勾和电池仓三颗螺钉固定，同T-Z1。  3.按键：注塑成型，与上盖紧配合固定，同T-Z1。  4.电池盖：新
待确认(可能复用),异类型号残留,05 结构方案阶段及图样E0\结构设计方案评审检查表.assets\sheets_md\01_Sheet2.md,7,T-Z1,| 4 |  | 电池盖方案 | □新增设计 ■选型：T-Z1 | □通过  □不通过 □不适用 |
待确认(可能复用),异类型号残留,05 结构方案阶段及图样E0\结构设计方案评审检查表.assets\sheets_md\01_Sheet2.md,8,T-Z1,| 5 |  | 透镜方案 | □新增注塑 □新增模切 ■选型：T-Z1 | □通过  □不通过 □不适用 |
待确认(可能复用),异类型号残留,05 结构方案阶段及图样E0\结构设计方案评审检查表.assets\sheets_md\01_Sheet2.md,13,PT5,| 10 |  | 电池弹簧方案 | □新增设计 ■选型：同PT5 | □通过  □不通过 □不适用 |
待确认(可能复用),异类型号残留,08 T1样机\11-运输试验评估报告\运输试验评估报告.md,44,PT3,| **评 估 结 论** | 根据“ PT3 运输试验报告”评估：  对比结果说明： 两机型相比较，彩包装、外箱材质、开合方式、连接方式均相同、两机型相比较彩包装、外箱尺寸、重量、材质均相似，故评估该包装对本产品在运输过程中整机的安全和性
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\PT9L生物相容性评估报告.md,20,PT5,PT9L红外体温计设计使用的材质与量产型号PT5红外耳温计一致，没有新增材料，而PT5已经做过生物相容性的相关试验，故对PT9L只进行生物相容性的测试评估。
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\PT9L生物相容性评估报告.md,22,PT5,**二、PT9L与 量产型号PT5 材料对照表：**
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\PT9L生物相容性评估报告.md,26,PT5,|  |  | PT9L | PT5 |
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\PT9L生物相容性评估报告.md,35,PT5,从上表中可以看出，PT9L红外体温计在主机身、测试探头、主机镜片以及保护盖等材料方面与量产型号PT5红外耳温计一致，PT5材料性能已通过生物相容性测试，因此，PT9L红外体温计符合生物相容性的要求。
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,3,PT5,source_file: PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,4,PT5,source_relative_path: 02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,6,PT5,assets_dir: PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,15,PT5,# PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,19,PT5,- source: `02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.pdf`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,20,PT5,- assets: `PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,32,PT5,- [page_manifest.csv](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/page_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,33,PT5,- [pages_text](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_text/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,34,PT5,- [pages_ocr](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_ocr/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,35,PT5,- [pages_png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,36,PT5,- [layout_manifest.csv](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_layout/layout_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,37,PT5,- [pages_ordered_md](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_ordered_md/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,38,PT5,- [visual_evidence_manifest.csv](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/visual_evidence_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,39,PT5,- [semantic_findings_manifest.csv](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/semantic_findings_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,40,PT5,- [image_manifest.csv](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/image_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,41,PT5,- [conversion_loss.json](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/conversion_loss.json)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,63,PT5,- Page 1: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_001.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,64,PT5,- Page 2: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_002.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,65,PT5,- Page 3: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_003.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,66,PT5,- Page 4: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_004.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,67,PT5,- Page 5: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_005.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,68,PT5,- Page 6: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_006.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,69,PT5,- Page 7: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_007.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,70,PT5,- Page 8: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_008.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,71,PT5,- Page 9: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_009.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,72,PT5,- Page 10: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_010.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,73,PT5,- Page 11: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_011.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.md,74,PT5,- Page 12: [png](PT5-生物相容性-皮肤刺激1-SDWH-M201905262-4.assets/pages_png/page_012.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,3,PT5,source_file: PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,4,PT5,source_relative_path: 02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,6,PT5,assets_dir: PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,15,PT5,# PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,19,PT5,- source: `02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.pdf`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,20,PT5,- assets: `PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,32,PT5,- [page_manifest.csv](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/page_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,33,PT5,- [pages_text](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_text/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,34,PT5,- [pages_ocr](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_ocr/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,35,PT5,- [pages_png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,36,PT5,- [layout_manifest.csv](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_layout/layout_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,37,PT5,- [pages_ordered_md](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_ordered_md/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,38,PT5,- [visual_evidence_manifest.csv](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/visual_evidence_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,39,PT5,- [semantic_findings_manifest.csv](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/semantic_findings_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,40,PT5,- [image_manifest.csv](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/image_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,41,PT5,- [conversion_loss.json](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/conversion_loss.json)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,63,PT5,- Page 1: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_001.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,64,PT5,- Page 2: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_002.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,65,PT5,- Page 3: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_003.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,66,PT5,- Page 4: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_004.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,67,PT5,- Page 5: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_005.png); text_chars=0; ocr=done; risk=no_native
